Round ,Winner,Loser ,End of Game Margin,End of Q3 Margin,Half Time Margin,End of 1Q Margin,Game Type
13,West Coast,Brisbane,49,45,36,1,Contested 1Q
13,Sydney,Melbourne,55,25,17,11,Contested 1Q
13,Hawthorn,North Melbourne,9,7,-2,-15,Contested 4Q
13,GWS,Essendon,27,8,-12,-10,Contested 3Q
13,Geelong,Western Bulldogs,57,28,48,28,Dominant
13,Fremantle,Port Adelaide,17,9,8,-6,Contested 3Q
14,St Kilda,Geelong,3,11,24,16,Contested 4Q
14,Richmond,Brisbane,42,56,38,22,Dominant
14,Hawthorn,Gold Coast,26,14,-1,-15,Contested 3Q
14,GWS,Carlton,62,29,24,23,Dominant
14,Collingwood,Fremantle,48,29,40,21,Dominant
14,Adelaide,North Melbourne,33,6,-4,18,Contested 3Q
15,Western Bulldogs,Sydney,4,13,-10,-9,Contested 4Q
15,West Coast,Essendon,78,34,18,-3,Contested 1Q
15,Port Adelaide,Richmond,38,23,23,-6,Contested 1Q
15,Gold Coast,St Kilda,40,50,37,18,Dominant
15,Collingwood,Carlton,12,18,5,2,Contested
15,Adelaide,Melbourne,22,9,-11,17,Contested 3Q
16,Western Bulldogs,Richmond,10,-7,1,2,Contested 4Q
16,West Coast,North Melbourne,32,33,18,7,Contested 2Q
16,Sydney,Geelong,38,27,15,7,Contested 2Q
16,St Kilda,Essendon,11,9,10,12,Contested 4Q
16,Melbourne,Fremantle,32,31,43,29,Dominant
16,Hawthorn,Port Adelaide,22,30,6,-2,Contested 2Q
16,Gold Coast,Brisbane,26,24,28,22,Contested
16,Collingwood,GWS,32,42,18,-24,Contested 2Q
16,Adelaide,Carlton,60,44,23,9,Contested 1Q
17,Western Bulldogs,Gold Coast,48,43,42,21,Contested 1Q
17,West Coast,Carlton,7,21,16,8,Contested
17,St Kilda,Melbourne,36,11,13,-17,Contested 3Q
17,Richmond,Essendon,29,12,8,0,Contested
17,Port Adelaide,North Melbourne,28,36,39,34,Dominant
17,Hawthorn,Sydney,5,-5,11,9,Contested 4Q
17,GWS,Brisbane,79,74,51,6,Contested 1Q
17,Geelong,Fremantle,17,14,-1,-16,Contested 4Q
17,Adelaide,Collingwood,28,23,18,20,Dominant
18,West Coast,Melbourne,6,-6,-2,-1,Contested 4Q
18,Sydney,Carlton,6,7,-8,-3,Contested 4Q
18,St Kilda,Western Bulldogs,15,5,6,-5,Contested 4Q
18,North Melbourne,Collingwood,40,27,39,27,Contested
18,Hawthorn,Richmond,70,28,10,0,Contested 2Q
18,GWS,Port Adelaide,19,4,-20,-12,Contested 3Q
18,Gold Coast,Fremantle,24,13,-8,14,Contested 3Q
18,Geelong,Adelaide,30,29,1,6,Contested 2Q
18,Brisbane,Essendon,37,40,13,17,Contested 2Q
19,Sydney,Fremantle,90,72,29,19,Dominant
19,Port Adelaide,Brisbane,94,62,47,5,Contested 1Q
19,North Melbourne,St Kilda,23,22,12,6,Contested 2Q
19,Melbourne,Gold Coast,2,8,12,-12,Contested 4Q
19,Hawthorn,Carlton,19,12,6,13,Contested
19,GWS,Richmond,88,63,63,50,Dominant
19,Geelong,Western Bulldogs,25,27,6,1,Contested 2Q
19,Collingwood,West Coast,19,2,14,-9,Contested 4Q
