gameid,date,game,winningteam,losingteam,score,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goalsequence,totalgoals,goaldiff
1,17-Jun-94,Germany v Bolivia,Germany,Bolivia,1v0,61 Germany,,,,,,,1v0,1,1
2,17-Jun-94,Spain v South Korea,Draw,Draw,2v2,51 Spain,55 Spain,85 South Korea,90 South Korea,,,,"1v0, 2v0, 2v1, 2v2",4,0
3,18-Jun-94,USA v Switzerland,Draw,Draw,1v1,39 Switzerland,44 USA ,,,,,,"0v1, 1v1",2,0
4,18-Jun-94,Colombia v Romania,Romania,Columbia,1v3,15 Romania,34 Romania,43 Colombia,89 Romania,,,,"0v1, 0v2, 1v2, 1v3",4,2
5,18-Jun-94,Italy v Ireland,Ireland,Italy,0v1,11 Ireland,,,,,,,0v1,1,1
6,19-Jun-94,Cameroon v Sweden,Draw,Draw,2v2,8 Sweden,31 Cameroon,47 Cameroon,75 Sweden,,,,"0v1, 1v1, 2v1, 2v2",4,0
7,19-Jun-94,Norway v Mexico,Norway,Mexico,1v0,84 Norway,,,,,,,1v0,1,1
8,19-Jun-94,Belgium v Morocco,Belgium,Morocco,1v0,11 Belgium,,,,,,,1v0,1,1
9,20-Jun-94,Brazil v Russia,Brazil,Russia,2v0,26 Brazil,52 Brazil (P),,,,,,"1v0, 2v0",2,2
10,20-Jun-94,Netherlands v Saudi Arabia,Netherlands,Saudi Arabia,2v1,18 Saudi Arabia,50 Netherlands,86 Netherlands,,,,,"0v1, 1v1, 2v1",3,1
11,21-Jun-94,Germany v Spain,Draw,Draw,1v1,14 Spain,48 Germany,,,,,,"0v1, 1v1",2,0
12,21-Jun-94,Argentina v Greece,Argentina,Greece,4v0,2 Argentina,44 Argentina,60 Argentina,90 Argentina (P),,,,"1v0, 2v0, 3v0, 4v0",4,4
13,21-Jun-94,Nigeria v Bulgaria,Nigeria,Bulgaria,3v0,21 Nigeria,43 Nigeria,55 Nigeria,,,,,"1v0, 2v0, 3v0",3,3
14,22-Jun-94,Romania v Switzerland,Switzerland,Romania,1v4,16 Switzerland,35 Romania,52 Switzerland,65 Switzerland,72 Switzerland,,,"0v1, 1v1, 1v2, 1v3, 1v4",5,3
15,22-Jun-94,USA v Colombia,USA,Colombia,2v1,35 USA (OG),52 USA,90 Colombia,,,,,"1v0, 2v0, 2v1",3,1
16,23-Jun-94,South Korea v Bolivia,Draw,Draw,0v0,,,,,,,,0v0,0,0
17,23-Jun-94,Italy v Norway,Italy,Norway,1v0,69 Italy,,,,,,,1v0,1,1
18,24-Jun-94,Brazil v Cameroon,Brazil,Cameroon,3v0,39 Brazil,66 Brazil,73 Bebeto,,,,,"1v0, 2v0, 3v0",3,3
19,24-Jun-94,Sweden v Russia,Sweden,Russia,3v1,4 Russia (P),37 Sweden (P),59 Sweden,81 Sweden,,,,"0v1, 1v1, 2v1, 3v1",4,2
20,24-Jun-94,Mexico v Ireland,Mexico,Ireland,2v1,42 Mexico,65 Mexico,84 Ireland,,,,,"1v0, 2v0, 2v1",3,1
