Round,Winning Team,1Q Points W,2Q Points W,3Q Points W,4Q Points W,Total Score W,Winning Margin,Round,Losing Team,1Q Points L,2Q Points L,3Q Points L,4Q Points L,Total Score L,Losing Margin,Lead 1Q W,Lead 2Q W,Lead 3Q W,Lead 4Q W
16,Geelong,32,64,33,34,163,85,16,Brisbane,23,19,32,4,78,-85,9,54,55,85
16,St Kilda,33,59,30,16,138,67,16,Richmond,9,1,23,38,71,-67,24,82,89,67
16,Fremantle,27,31,2,26,86,4,16,North Melbourne,8,31,13,30,82,-4,19,19,8,4
16,Melbourne,8,38,25,19,90,8,16,Carlton,27,20,15,20,82,-8,-19,-1,9,8
16,Port Adelaide,24,14,30,52,120,32,16,West Coast,28,21,19,20,88,-32,-4,-11,0,32
17,Essendon,17,29,44,28,118,61,17,St Kilda,2,16,17,22,57,-61,15,28,55,61
17,Geelong,21,22,32,13,88,3,17,Hawthorn,20,28,16,21,85,-3,1,-5,11,3
17,Port Adelaide,49,21,23,34,127,70,17,North Melbourne,12,21,8,16,57,-70,37,37,52,70
17,Collingwood,34,13,22,34,103,15,17,Gold Coast,13,34,21,20,88,-15,21,0,1,15
17,Sydney,28,19,22,27,96,13,17,GWS,16,20,20,27,83,-13,12,11,13,13
17,Adelaide,44,28,11,33,116,46,17,Melbourne,9,24,28,9,70,-46,35,39,22,46
17,Richmond,28,10,29,45,112,31,17,Brisbane,9,21,14,37,81,-31,19,8,23,31
17,Bulldogs,16,33,19,14,82,20,17,Carlton,20,8,14,20,62,-20,-4,21,26,20
17,West Coast,25,9,26,14,74,30,17,Fremantle,3,17,11,13,44,-30,22,14,29,30
18,Adelaide,32,27,28,4,91,21,18,Geelong,10,20,20,20,70,-21,22,29,37,21
18,Essendon,26,25,35,46,132,27,18,North Melbourne,28,25,26,26,105,-27,-2,-2,7,27
18,Melbourne,28,28,18,14,88,23,18,Port Adelaide,3,21,22,19,65,-23,25,32,28,23
18,Bulldogs,28,20,21,41,110,54,18,Gold Coast,20,8,27,1,56,-54,8,20,14,54
18,Sydney,23,27,30,21,101,42,18,St Kilda,8,12,14,25,59,-42,15,30,46,42
18,Hawthorn,27,15,21,37,100,52,18,Fremantle,12,10,13,13,48,-52,15,20,28,52
18,Richmond,2,28,26,8,64,19,18,GWS,22,1,6,16,45,-19,-20,7,27,19
18,Collingwood,22,14,23,34,93,8,18,West Coast,26,19,32,8,85,-8,-4,-9,-18,8
18,Brisbane,37,40,8,27,112,30,18,Carlton,4,20,31,27,82,-30,33,53,30,30
19,Hawthorn,27,27,2,16,72,6,19,Sydney,19,14,13,20,66,-6,8,21,10,6
19,North Melbourne,28,12,22,14,76,4,19,Melbourne,12,41,3,16,72,-4,16,-13,6,4
19,GWS,23,20,16,39,98,12,19,Fremantle,21,21,32,12,86,-12,2,1,-15,12
19,Port Adelaide,15,8,14,26,63,2,19,St Kilda,9,11,10,31,61,-2,6,3,7,2
19,Richmond,22,34,21,21,98,33,19,Gold Coast,26,7,19,13,65,-33,-4,23,25,33
19,Geelong,37,27,26,33,123,65,19,Carlton,18,9,11,20,58,-65,19,37,52,65
19,Bulldogs,34,23,43,27,127,30,19,Essendon,29,23,29,16,97,-30,5,5,19,30
19,West Coast,25,33,21,34,113,68,19,Brisbane,20,3,15,7,45,-68,5,35,41,68
20,Sydney,47,18,10,32,107,46,20,Geelong,15,21,14,11,61,-46,32,29,25,46
20,GWS,54,13,23,7,97,35,20,Melbourne,18,13,12,19,62,-35,36,36,47,35
20,Essendon,35,3,18,28,84,8,20,Carlton,13,15,31,17,76,-8,22,10,-3,8
20,Bulldogs,42,17,5,39,103,14,20,Brisbane,14,34,27,14,89,-14,28,11,-11,14
20,Collingwood,19,22,37,33,111,54,20,North Melbourne,11,4,20,22,57,-54,8,26,43,54
20,Fremantle,23,27,28,12,90,23,20,Gold Coast,24,10,21,12,67,-23,-1,16,23,23
20,St Kilda,20,27,20,36,103,8,20,West Coast,23,27,20,25,95,-8,-3,-3,-3,8
20,Richmond,34,10,20,29,93,23,20,Hawthorn,9,14,15,32,70,-23,25,21,26,23
20,Adelaide,15,30,45,40,130,84,20,Port Adelaide,7,2,19,18,46,-84,8,36,62,84
21,GWS,29,18,39,19,105,48,21,Bulldogs,19,24,5,9,57,-48,10,4,38,48
21,Sydney,50,34,25,34,143,104,21,Fremantle,7,2,20,10,39,-104,43,75,80,104
21,Geelong,20,33,4,23,80,14,21,Richmond,22,7,22,15,66,-14,-2,24,6,14
21,Brisbane,20,38,38,46,142,58,21,Gold Coast,41,16,6,21,84,-58,-21,1,33,58
21,Adelaide,33,33,27,30,123,43,21,Essendon,14,20,27,19,80,-43,19,32,32,43
21,West Coast,24,32,8,36,100,17,21,Carlton,21,4,39,19,83,-17,3,31,0,17
21,Melbourne,39,21,9,27,96,24,21,St Kilda,7,21,31,13,72,-24,32,32,10,24
21,Hawthorn,33,32,30,21,116,27,21,North Melbourne,19,13,44,13,89,-27,14,33,19,27
21,Port Adelaide,16,34,21,27,98,27,21,Collingwood,9,19,28,15,71,-27,7,22,15,27
22,Sydney,31,12,26,14,83,3,22,Adelaide,14,21,23,22,80,-3,17,8,11,3
22,Port Adelaide,14,21,23,38,96,17,22,Bulldogs,21,20,24,14,79,-17,-7,-6,-7,17
22,Geelong,14,27,13,16,70,11,22,Collingwood,37,7,14,1,59,-11,-23,-3,-4,11
22,GWS,13,33,8,27,81,21,22,West Coast,19,20,14,7,60,-21,-6,7,1,21
